symbol,n,min_diff,m_hours,subperiod,n_obs,n_eff,mean_fade,std_fade,t_stat_raw,t_stat_adj,mean_mae
BTC-USDT-SWAP,2,0.01,2,2,3563,1843,-9.698329621943614e-05,0.014495686877894032,-0.3993613691412575,-0.2872240548492567,0.010110357528938088
BTC-USDT-SWAP,2,0.01,2,3,2324,1449,-2.911625174951253e-05,0.010122911614119257,-0.1386590060523562,-0.10948741787757339,0.007542116171273585
BTC-USDT-SWAP,2,0.01,2,all,16767,8058,-8.160832418202601e-05,0.016015789335761938,-0.6598022531228018,-0.45740377400647775,0.011232322554282753
BTC-USDT-SWAP,2,0.01,4,0,4820,1386,-5.998420389707075e-06,0.026316049583170492,-0.01582485438391618,-0.008485898218780518,0.018287855304200223
BTC-USDT-SWAP,2,0.01,4,1,6060,1723,-6.61632390711712e-05,0.0207245227068885,-0.24852411330620133,-0.13251799599034084,0.016344082261253286
BTC-USDT-SWAP,2,0.01,4,2,3563,1288,-0.0002103900557141454,0.019318346905965154,-0.6500745428248791,-0.3908527568491799,0.01406457099895414
BTC-USDT-SWAP,2,0.01,4,3,2324,1052,0.00018052976087468614,0.013551096189456586,0.6422327389445694,0.4320979926583557,0.010397198376296067
BTC-USDT-SWAP,2,0.01,4,all,16767,5449,-4.5322968884500235e-05,0.02142462210040654,-0.27392575192080737,-0.15615776488752184,0.015594188379866742
BTC-USDT-SWAP,2,0.01,6,0,4820,1076,3.256671955900208e-05,0.030641317949765396,0.07378873960249734,0.03486363841649691,0.022049500205962032
BTC-USDT-SWAP,2,0.01,6,1,6060,1281,-0.000251757007895683,0.02451539021613483,-0.7994274748676958,-0.36755075812589344,0.019782594783132212
BTC-USDT-SWAP,2,0.01,6,2,3563,1015,-4.75926622174621e-06,0.022183429947552378,-0.012806168547868436,-0.006835091353131897,0.016893307131287595
BTC-USDT-SWAP,2,0.01,6,3,2323,851,-5.160636888259113e-05,0.01584283320579276,-0.15699833886572118,-0.09502442109477169,0.012646646075551809
BTC-USDT-SWAP,2,0.01,6,all,16766,4223,-8.979570201811934e-05,0.025028401463529883,-0.4645550317436742,-0.23314868925270435,0.018831571485196395
BTC-USDT-SWAP,2,0.01,8,0,4820,879,3.0792137015997146e-05,0.03517688530051,0.06077234113456154,0.025952361703432403,0.02546320422432678
BTC-USDT-SWAP,2,0.01,8,1,6060,1017,-0.00016869884940797387,0.027274607134003214,-0.48149294595583014,-0.1972486744358965,0.02255354630278707
BTC-USDT-SWAP,2,0.01,8,2,3563,822,-8.619600498879417e-05,0.024594558384145926,-0.20919727347180928,-0.10048101595777037,0.0192140343187426
BTC-USDT-SWAP,2,0.01,8,3,2323,713,0.00014335178076504312,0.0180056082235054,0.38372482870296193,0.21258864357438864,0.014175108962052029
BTC-USDT-SWAP,2,0.01,8,all,16766,3431,-5.0578975668203194e-05,0.02824844151141844,-0.23184101430546344,-0.10487836209776516,0.02151947497033708
BTC-USDT-SWAP,2,0.01,10,0,4820,743,-5.0556420545821035e-05,0.03805477095900943,-0.09223393225662152,-0.036212758826557605,0.028526287033390014
BTC-USDT-SWAP,2,0.01,10,1,6060,845,-2.8245719591186047e-05,0.030376989492377007,-0.07238427426689777,-0.027029391383132595,0.02514757166017654
BTC-USDT-SWAP,2,0.01,10,2,3563,709,-0.0001443285564792183,0.027296942349087215,-0.3156066726680463,-0.14078662017079588,0.02110069739595105
BTC-USDT-SWAP,2,0.01,10,3,2321,623,-7.013948641829295e-05,0.01928544399324768,-0.17521468815080715,-0.09077723766959388,0.015544823092583525
BTC-USDT-SWAP,2,0.01,10,all,16764,2920,-6.513286819767106e-05,0.03097835555872331,-0.27222666903823256,-0.11361437109687686,0.02392939077674002
BTC-USDT-SWAP,2,0.01,12,0,4820,641,7.108758483137603e-05,0.04043096854822468,0.1220683666249506,0.04451523076021082,0.03090553641842339
BTC-USDT-SWAP,2,0.01,12,1,6060,726,-0.00012079488574719771,0.033128607528787546,-0.28384528048904006,-0.09824572816634204,0.027461166309320103
BTC-USDT-SWAP,2,0.01,12,2,3563,616,-0.00017365668700100934,0.029181731359333177,-0.3552126039740348,-0.14769670692875245,0.022776290539431667
BTC-USDT-SWAP,2,0.01,12,3,2321,545,4.40770420217235e-05,0.020610032770702873,0.10303181005341784,0.04992660216450786,0.016833261233205114
BTC-USDT-SWAP,2,0.01,12,all,16764,2528,-5.4033095322892126e-05,0.03326222775304404,-0.2103281201521994,-0.08167648681375168,0.025984328077162056
BTC-USDT-SWAP,2,0.01,16,0,4820,510,-0.0001431918744367138,0.043138046748761,-0.23045249615801713,-0.07496231421456742,0.035024137522945115
BTC-USDT-SWAP,2,0.01,16,1,6060,563,-8.298071965904573e-05,0.03817355535909917,-0.16921969130665812,-0.05157850901739645,0.03144655835075763
BTC-USDT-SWAP,2,0.01,16,2,3563,489,-0.0002487008474955935,0.0330961838045426,-0.4485462772664016,-0.16617044196428865,0.02591101417999531
BTC-USDT-SWAP,2,0.01,16,3,2319,444,-2.9223968685716318e-05,0.023279289298043952,-0.06045327742007382,-0.026452149068209644,0.019098277294514094
BTC-USDT-SWAP,2,0.01,16,all,16762,2005,-0.00012808373099437733,0.037007301355596156,-0.4480943534724685,-0.15497574816256648,0.02959028367948265
BTC-USDT-SWAP,2,0.01,24,0,4820,363,0.00019031830792826026,0.05396132031673918,0.24486207169326693,0.06719722102945494,0.04207913698188198
BTC-USDT-SWAP,2,0.01,24,1,6060,389,1.8497819436107042e-05,0.04534980672630264,0.031752754631479904,0.00804488603095334,0.037831325290626244
BTC-USDT-SWAP,2,0.01,24,2,3563,354,-2.494647017429303e-07,0.040797148155126535,-0.0003649952468602877,-0.0001150484915294802,0.031063201922913394
BTC-USDT-SWAP,2,0.01,24,3,2318,329,9.702113410207232e-05,0.028346725496895292,0.16478594412175135,0.062081385074412646,0.02349954551532708
BTC-USDT-SWAP,2,0.01,24,all,16761,1435,7.47829590187528e-05,0.0452278560483834,0.21406546430627507,0.06263579509072191,0.035632086777026124
BTC-USDT-SWAP,2,0.01,36,0,4820,254,-6.682292460840924e-05,0.06195023308033886,-0.0748869346074401,-0.01719093083072084,0.050274980391128314
BTC-USDT-SWAP,2,0.01,36,1,6060,267,3.468114529161288e-05,0.051554329229204575,0.05236783292495808,0.010992182265786158,0.045256853054693784
BTC-USDT-SWAP,2,0.01,36,2,3563,247,-0.00021895208764434928,0.046182483156749866,-0.2829956246900218,-0.07451098189998523,0.036862342802701294
BTC-USDT-SWAP,2,0.01,36,3,2317,235,-0.00017786503572980665,0.0318277271455611,-0.26899733324724884,-0.08566805144547128,0.028099341324478787
BTC-USDT-SWAP,2,0.01,36,all,16760,1001,-7.781374297184581e-05,0.05155370819845347,-0.19540397955413122,-0.04775440472556572,0.0425434747166781
BTC-USDT-SWAP,2,0.01,48,0,4820,194,-5.983033091411912e-05,0.0716296081530632,-0.05798989850285604,-0.011634017010724442,0.05780413664420977
BTC-USDT-SWAP,2,0.01,48,1,6060,203,-0.00013831709675313862,0.057311528208715046,-0.18787551654422072,-0.0343860186600707,0.05198243124689802
BTC-USDT-SWAP,2,0.01,48,2,3563,191,-4.374931955999538e-05,0.05125876940941101,-0.0509461110887703,-0.011795593859272653,0.041375952621045715
BTC-USDT-SWAP,2,0.01,48,3,2316,182,-4.988932038223089e-05,0.03550219837903877,-0.0676272330753215,-0.018957804282961226,0.03129062950849337
BTC-USDT-SWAP,2,0.01,48,all,16759,769,-8.341824052315686e-05,0.05827188490228974,-0.1853215865388746,-0.039697680216401486,0.04854234077879048
BTC-USDT-SWAP,2,0.0125,1,0,3474,2263,3.686858668266306e-06,0.016539170635798097,0.013138859510821672,0.010604374063333278,0.010220366544761161
BTC-USDT-SWAP,2,0.0125,1,1,4269,2941,-0.00018117916871458867,0.012017102440229278,-0.9850801702071571,-0.8176284819042848,0.008699343016480189
BTC-USDT-SWAP,2,0.0125,1,2,2422,1792,-0.00014917816733487068,0.010925367846193726,-0.6719798782778805,-0.5780137930216447,0.007714993538391601
BTC-USDT-SWAP,2,0.0125,1,3,1558,1305,-5.532406700262544e-05,0.008467118724785222,-0.2579064335408559,-0.23603896683725367,0.00562698211192517
BTC-USDT-SWAP,2,0.0125,1,all,11723,8301,-0.00010305810303712099,0.012954062712311311,-0.8613814829849168,-0.7248386719623346,0.008538394710758172
BTC-USDT-SWAP,2,0.0125,2,0,3474,1720,-3.423988526938008e-05,0.021939621831783346,-0.09198522401940822,-0.06472430366184273,0.014316176256324767
BTC-USDT-SWAP,2,0.0125,2,1,4269,2215,-7.721543608341535e-05,0.01623295854153232,-0.31079178188307977,-0.22386866751788626,0.01224231105777819
BTC-USDT-SWAP,2,0.0125,2,2,2422,1446,-0.00032205891536877276,0.01448602572542439,-1.0941406243722231,-0.8454155279129923,0.010503735275554857
